Date,RITES.NS
2019-04-08,72.80843353271484
2019-04-09,73.10750579833984
2019-04-10,75.52995300292969
2019-04-11,76.89073181152344
2019-04-12,75.485107421875
2019-04-15,76.21783447265625
2019-04-16,75.60477447509766
2019-04-18,74.42342376708984
2019-04-22,72.79348754882812
2019-04-23,72.3000259399414
2019-04-24,72.8682632446289
2019-04-25,73.27200317382812
2019-04-26,72.49443054199219
2019-04-30,73.37667083740234
2019-05-02,73.37667083740234
2019-05-03,74.34864807128906
2019-05-06,74.1841812133789
2019-05-07,73.60098266601562
2019-05-08,72.12056732177734
2019-05-09,70.9542236328125
2019-05-10,71.0140380859375
2019-05-13,72.3000259399414
2019-05-14,72.34490966796875
2019-05-15,69.56354522705078
2019-05-16,68.54671478271484
2019-05-17,69.80278778076172
2019-05-20,74.21407318115234
