Date,ZENSARTECH.NS
2016-05-30,168.87942504882812
2016-05-31,166.363525390625
2016-06-01,166.52130126953125
2016-06-02,165.53953552246094
2016-06-03,161.4545135498047
2016-06-06,161.68243408203125
2016-06-07,166.49501037597656
2016-06-08,165.6973114013672
2016-06-09,164.0142059326172
2016-06-10,166.67037963867188
2016-06-13,166.1180877685547
2016-06-14,166.6177520751953
2016-06-15,167.06484985351562
2016-06-16,169.58067321777344
2016-06-17,169.40536499023438
2016-06-20,168.87942504882812
2016-06-21,169.70339965820312
2016-06-22,169.3966522216797
2016-06-23,170.78167724609375
2016-06-24,169.79107666015625
2016-06-27,169.08103942871094
2016-06-28,168.69532775878906
2016-06-29,168.81805419921875
2016-06-30,170.23812866210938
2016-07-01,172.17550659179688
2016-07-04,183.913330078125
2016-07-05,188.00709533691406
