Date,BBSE3.SA
2016-05-27,13.768451690673828
2016-05-30,13.668679237365723
2016-05-31,13.598841667175293
2016-06-01,13.52401351928711
2016-06-02,13.718564987182617
2016-06-03,13.768451690673828
2016-06-06,13.653715133666992
2016-06-07,13.414262771606445
2016-06-08,13.603828430175781
2016-06-09,13.793394088745117
2016-06-10,13.344426155090332
2016-06-13,13.344426155090332
2016-06-14,13.094996452331543
2016-06-15,13.459157943725586
2016-06-16,13.598841667175293
2016-06-17,13.543967247009277
2016-06-20,13.873208045959473
2016-06-21,13.928086280822754
2016-06-22,13.558931350708008
2016-06-23,13.883190155029297
2016-06-24,13.334446907043457
2016-06-27,13.593852043151855
2016-06-28,13.75847339630127
2016-06-29,13.972981452941895
2016-06-30,14.022866249084473
2016-07-01,13.768451690673828
2016-07-04,13.793394088745117
