Date,BEL.NS
2016-05-30,30.150524139404297
2016-05-31,29.818994522094727
2016-06-01,29.268539428710938
2016-06-02,29.469743728637695
2016-06-03,28.934480667114258
2016-06-06,30.023984909057617
2016-06-07,30.80853271484375
2016-06-08,32.62689971923828
2016-06-09,31.929664611816406
2016-06-10,32.03215789794922
2016-06-13,31.531057357788086
2016-06-14,31.465272903442383
2016-06-15,31.87652587890625
2016-06-16,32.123268127441406
2016-06-17,31.82210922241211
2016-06-20,32.5142707824707
2016-06-21,32.4864387512207
2016-06-22,32.005584716796875
2016-06-23,32.252342224121094
2016-06-24,31.589279174804688
2016-06-27,31.827163696289062
2016-06-28,31.60698890686035
2016-06-29,32.15617752075195
2016-06-30,32.06759262084961
2016-07-01,32.18527603149414
2016-07-04,32.2548713684082
