Date,MOTHERSON.NS
2016-05-09,26.963762283325195
2016-05-10,26.66867446899414
2016-05-11,26.947954177856445
2016-05-12,28.159927368164062
2016-05-13,27.75417709350586
2016-05-16,28.233699798583984
2016-05-17,30.60494613647461
2016-05-18,29.09788703918457
2016-05-19,28.57621192932129
2016-05-20,28.228431701660156
2016-05-23,27.827953338623047
2016-05-24,27.026994705200195
2016-05-25,28.00184440612793
2016-05-26,28.834415435791016
2016-05-27,29.42986488342285
2016-05-30,29.956809997558594
2016-05-31,30.009502410888672
2016-06-01,30.852615356445312
2016-06-02,30.65237808227539
2016-06-03,29.07680892944336
2016-06-06,29.55632781982422
2016-06-07,30.257165908813477
2016-06-08,30.610218048095703
2016-06-09,30.520639419555664
2016-06-10,30.431060791015625
2016-06-13,30.1728515625
2016-06-14,30.594411849975586
