Date,RECSI.OL
2015-12-30,17.93000030517578
2016-01-04,17.139999389648438
2016-01-05,16.899999618530273
2016-01-06,17.100000381469727
2016-01-07,16.420000076293945
2016-01-08,16.389999389648438
2016-01-11,15.550000190734863
2016-01-12,14.899999618530273
2016-01-13,14.869999885559082
2016-01-14,13.899999618530273
2016-01-15,13.350000381469727
2016-01-18,12.350000381469727
2016-01-19,13.079999923706055
2016-01-20,12.0
2016-01-21,12.899999618530273
2016-01-22,13.890000343322754
2016-01-25,13.210000038146973
2016-01-26,13.5600004196167
2016-01-27,13.449999809265137
2016-01-28,13.100000381469727
2016-01-29,13.199999809265137
2016-02-01,12.25
2016-02-02,11.75
2016-02-03,11.800000190734863
2016-02-04,11.369999885559082
2016-02-05,11.399999618530273
2016-02-08,7.900000095367432
2016-02-09,8.0
2016-02-10,8.354999542236328
2016-02-11,8.765000343322754
2016-02-12,9.079999923706055
2016-02-15,8.805000305175781
2016-02-16,8.300000190734863
2016-02-17,9.085000038146973
2016-02-18,9.375
2016-02-19,8.734999656677246
2016-02-22,8.600000381469727
2016-02-23,8.989999771118164
2016-02-24,8.654999732971191
2016-02-25,8.510000228881836
2016-02-26,9.800000190734863
2016-02-29,10.600000381469727
2016-03-01,10.390000343322754
2016-03-02,10.5600004196167
2016-03-03,10.510000228881836
2016-03-04,10.539999961853027
2016-03-07,10.5
2016-03-08,10.800000190734863
2016-03-09,11.699999809265137
2016-03-10,12.399999618530273
2016-03-11,12.539999961853027
2016-03-14,12.5600004196167
2016-03-15,13.0
2016-03-16,13.0
2016-03-17,13.100000381469727
2016-03-18,14.729999542236328
2016-03-21,15.479999542236328
2016-03-22,15.319999694824219
2016-03-23,15.0
2016-03-29,13.699999809265137
2016-03-30,14.039999961853027
2016-03-31,14.0
2016-04-01,13.869999885559082
2016-04-04,13.170000076293945
2016-04-05,12.449999809265137
2016-04-06,13.239999771118164
2016-04-07,13.0
2016-04-08,13.59000015258789
2016-04-11,13.979999542236328
2016-04-12,15.09000015258789
2016-04-13,14.550000190734863
2016-04-14,15.399999618530273
2016-04-15,15.210000038146973
2016-04-18,15.34000015258789
2016-04-19,15.600000381469727
2016-04-20,15.979999542236328
2016-04-21,16.049999237060547
2016-04-22,16.100000381469727
2016-04-25,17.0
2016-04-26,17.06999969482422
2016-04-27,18.0
2016-04-28,17.299999237060547
2016-04-29,17.700000762939453
2016-05-02,17.520000457763672
2016-05-03,17.850000381469727
2016-05-04,19.299999237060547
2016-05-06,19.799999237060547
2016-05-09,17.899999618530273
2016-05-10,18.149999618530273
2016-05-11,19.299999237060547
2016-05-12,18.940000534057617
2016-05-13,19.389999389648438
2016-05-18,20.440000534057617
2016-05-19,19.219999313354492
2016-05-20,20.299999237060547
2016-05-23,20.739999771118164
2016-05-24,19.350000381469727
2016-05-25,19.5
2016-05-26,18.799999237060547
2016-05-27,19.270000457763672
2016-05-30,19.31999969482422
