Date,JUSTDIAL.NS
2016-06-08,650.9000244140625
2016-06-09,661.7000122070312
2016-06-10,652.5999755859375
2016-06-13,634.9000244140625
2016-06-14,641.5
2016-06-15,644.0
2016-06-16,643.7999877929688
2016-06-17,662.4500122070312
2016-06-20,661.9500122070312
2016-06-21,665.2000122070312
2016-06-22,656.25
2016-06-23,648.4000244140625
2016-06-24,625.5499877929688
2016-06-27,622.0499877929688
2016-06-28,598.9000244140625
2016-06-29,601.4500122070312
2016-06-30,610.4500122070312
2016-07-01,615.5999755859375
2016-07-04,618.8499755859375
2016-07-05,615.0499877929688
2016-07-07,605.0999755859375
2016-07-08,592.8499755859375
2016-07-11,590.4500122070312
2016-07-12,578.4500122070312
2016-07-13,579.0499877929688
2016-07-14,572.9000244140625
2016-07-15,553.4000244140625
2016-07-18,560.9000244140625
