Date,VBL.NS
2017-08-07,29.93922233581543
2017-08-08,30.048725128173828
2017-08-09,30.35996437072754
2017-08-10,30.204343795776367
2017-08-11,29.679855346679688
2017-08-14,29.627981185913086
2017-08-16,30.19268226623535
2017-08-17,30.143449783325195
2017-08-18,31.704347610473633
2017-08-21,32.422523498535156
2017-08-22,31.475568771362305
2017-08-23,30.94561767578125
2017-08-24,31.226520538330078
2017-08-28,31.46109390258789
2017-08-29,30.46779441833496
2017-08-30,30.042095184326172
2017-08-31,30.328786849975586
2017-09-01,30.77186393737793
2017-09-04,30.105806350708008
2017-09-05,30.001554489135742
2017-09-06,30.3027286529541
2017-09-07,30.488067626953125
2017-09-08,30.881906509399414
2017-09-11,30.780550003051758
2017-09-12,30.57204818725586
2017-09-13,30.751588821411133
