Date,ROL
2016-04-28,10.615647315979004
2016-04-29,10.611696243286133
2016-05-02,10.674885749816895
2016-05-03,10.66303539276123
2016-05-04,10.66303539276123
2016-05-05,10.674885749816895
2016-05-06,10.833442687988281
2016-05-09,10.817585945129395
2016-05-10,10.94046688079834
2016-05-11,10.805695533752441
2016-05-12,10.964251518249512
2016-05-13,10.80965805053711
2016-05-16,10.797768592834473
2016-05-17,10.746232986450195
2016-05-18,10.801732063293457
2016-05-19,10.881010055541992
2016-05-20,10.936504364013672
2016-05-23,10.9087553024292
2016-05-24,11.225871086120605
2016-05-25,11.110917091369629
2016-05-26,11.178303718566895
2016-05-27,11.265510559082031
2016-05-31,11.265510559082031
2016-06-01,11.31704044342041
2016-06-02,11.372539520263672
2016-06-03,11.368574142456055
