Date,HEI.DE
2016-05-18,58.81818389892578
2016-05-19,57.89512252807617
2016-05-20,58.5756721496582
2016-05-23,58.67737579345703
2016-05-24,60.179317474365234
2016-05-25,59.57698059082031
2016-05-26,60.48440170288086
2016-05-27,59.84293746948242
2016-05-30,59.84293746948242
2016-05-31,60.14802169799805
2016-06-01,59.506568908691406
2016-06-02,59.16236877441406
2016-06-03,58.59132385253906
2016-06-06,58.27060317993164
2016-06-07,59.8116569519043
2016-06-08,59.2327766418457
2016-06-09,58.51310729980469
2016-06-10,56.87035369873047
2016-06-13,55.85342025756836
2016-06-14,55.21977233886719
2016-06-15,55.767364501953125
2016-06-16,55.298011779785156
2016-06-17,55.61090850830078
2016-06-20,57.74648666381836
2016-06-21,57.65261459350586
2016-06-22,58.16108322143555
