Date,SK.SN
2016-05-24,899.625244140625
2016-05-25,899.625244140625
2016-05-26,914.6189575195312
2016-05-27,909.62109375
2016-05-30,914.6189575195312
2016-05-31,919.6168212890625
2016-06-01,929.5128173828125
2016-06-02,929.61279296875
2016-06-03,929.61279296875
2016-06-06,919.6168212890625
2016-06-07,907.0822143554688
2016-06-08,874.6355590820312
2016-06-09,874.7354736328125
2016-06-10,889.62939453125
2016-06-13,879.6336669921875
2016-06-14,879.6336669921875
2016-06-15,889.62939453125
2016-06-16,879.6412963867188
2016-06-17,868.1359252929688
2016-06-20,868.1359252929688
2016-06-21,856.6605224609375
2016-06-22,856.9505004882812
2016-06-23,864.6473999023438
2016-06-24,835.6589965820312
2016-06-28,834.6594848632812
2016-06-29,844.6554565429688
2016-06-30,849.6535034179688
