Date,HO.PA
2016-05-17,63.89410400390625
2016-05-18,63.60211181640625
2016-05-19,63.552066802978516
2016-05-20,64.46971893310547
2016-05-23,64.26115417480469
2016-05-24,64.87848663330078
2016-05-25,64.58650970458984
2016-05-26,64.97027587890625
2016-05-27,64.84512329101562
2016-05-30,65.5382080078125
2016-05-31,65.80867767333984
2016-06-01,65.47901916503906
2016-06-02,65.50440216064453
2016-06-03,64.60001373291016
2016-06-06,64.76058959960938
2016-06-07,64.28726959228516
2016-06-08,64.36334991455078
2016-06-09,63.48432540893555
2016-06-10,62.44471740722656
2016-06-13,61.14307403564453
2016-06-14,60.47535705566406
2016-06-15,60.974021911621094
2016-06-16,60.94021987915039
2016-06-17,61.0754508972168
2016-06-20,62.91802215576172
2016-06-21,63.273006439208984
2016-06-22,63.36599349975586
