Date,GUJGASLTD.NS
2016-06-21,98.67469024658203
2016-06-22,98.93074035644531
2016-06-23,99.42387390136719
2016-06-24,98.19103240966797
2016-06-27,99.4618148803711
2016-06-28,105.62600708007812
2016-06-29,104.85786437988281
2016-06-30,105.76826477050781
2016-07-01,103.93797302246094
2016-07-04,104.1181640625
2016-07-05,101.67144012451172
2016-07-07,103.14137268066406
2016-07-08,106.49848175048828
2016-07-11,106.20450592041016
2016-07-12,106.25192260742188
2016-07-13,106.07173156738281
2016-07-14,105.79671478271484
2016-07-15,104.52593231201172
2016-07-18,104.5069808959961
2016-07-19,104.45006561279297
2016-07-20,104.9432144165039
2016-07-21,105.8441390991211
2016-07-22,106.3088150024414
2016-07-25,105.22770690917969
2016-07-26,104.60181427001953
2016-07-27,105.22770690917969
2016-07-28,108.96416473388672
