Date,COR
2016-04-28,75.406005859375
2016-04-29,74.25423431396484
2016-05-02,74.3676528930664
2016-05-03,74.5858154296875
2016-05-04,73.54747009277344
2016-05-05,68.05911254882812
2016-05-06,66.7677230834961
2016-05-09,67.5093994140625
2016-05-10,66.90733337402344
2016-05-11,66.10459899902344
2016-05-12,65.2494888305664
2016-05-13,64.27223205566406
2016-05-16,65.08370208740234
2016-05-17,65.03134155273438
2016-05-18,65.57235717773438
2016-05-19,65.78270721435547
2016-05-20,65.58110046386719
2016-05-23,64.80976104736328
2016-05-24,65.16035461425781
2016-05-25,64.89742279052734
2016-05-26,64.59062194824219
2016-05-27,64.88865661621094
2016-05-31,65.72135925292969
2016-06-01,66.29984283447266
2016-06-02,67.56204223632812
2016-06-03,67.08870697021484
2016-06-06,67.00983428955078
