Date,ACX.MC
2016-05-12,5.836789608001709
2016-05-13,5.930492401123047
2016-05-16,5.986832141876221
2016-05-17,6.025379657745361
2016-05-18,6.007587909698486
2016-05-19,5.782823085784912
2016-05-20,5.842720985412598
2016-05-23,5.899653434753418
2016-05-24,5.9227824211120605
2016-05-25,5.995728492736816
2016-05-26,6.126197814941406
2016-05-27,6.028345584869385
2016-05-30,6.04613733291626
2016-05-31,6.16771125793457
2016-06-01,6.096546649932861
2016-06-02,6.31597375869751
2016-06-03,6.173642635345459
2016-06-06,6.191433429718018
2016-06-07,6.206259727478027
2016-06-08,6.2003302574157715
2016-06-09,6.241842746734619
2016-06-10,5.90617561340332
2016-06-13,5.791718006134033
2016-06-14,5.619142055511475
2016-06-15,5.727076053619385
2016-06-16,5.550940036773682
2016-06-17,5.930492401123047
