Date,PIDILITIND.NS
2016-05-13,580.054931640625
2016-05-16,578.764892578125
2016-05-17,579.8637084960938
2016-05-18,581.583740234375
2016-05-19,589.1324462890625
2016-05-20,624.6303100585938
2016-05-23,622.1939086914062
2016-05-24,628.1179809570312
2016-05-25,651.3375244140625
2016-05-26,650.3819580078125
2016-05-27,663.7593994140625
2016-05-30,664.3804931640625
2016-05-31,674.8436279296875
2016-06-01,685.736572265625
2016-06-02,684.5899658203125
2016-06-03,678.4745483398438
2016-06-06,678.2833251953125
2016-06-07,678.7134399414062
2016-06-08,673.2669067382812
2016-06-09,671.0214233398438
2016-06-10,665.2405395507812
2016-06-13,668.3460083007812
2016-06-14,661.752685546875
2016-06-15,663.7116088867188
2016-06-16,667.7247924804688
2016-06-17,670.5913696289062
2016-06-20,668.2981567382812
