Date,TIMS3.SA
2016-05-23,4.4205546379089355
2016-05-24,4.478549957275391
2016-05-25,4.478549957275391
2016-05-27,4.484994888305664
2016-05-30,4.504325866699219
2016-05-31,4.588097095489502
2016-06-01,4.517214298248291
2016-06-02,4.465663433074951
2016-06-03,4.555877208709717
2016-06-06,4.433444023132324
2016-06-07,4.613874435424805
2016-06-08,4.555877208709717
2016-06-09,4.49788236618042
2016-06-10,4.349672317504883
2016-06-13,4.285231590270996
2016-06-14,4.188572406768799
2016-06-15,4.311008453369141
2016-06-16,4.285231590270996
2016-06-17,4.336784362792969
2016-06-20,4.394778251647949
2016-06-21,4.478549957275391
2016-06-22,4.381892204284668
2016-06-23,4.484994888305664
2016-06-24,4.240124702453613
2016-06-27,4.117688179016113
2016-06-28,4.278787612915039
2016-06-29,4.381892204284668
