Date,KSB.NS
2016-05-30,124.2689437866211
2016-05-31,127.12630462646484
2016-06-01,125.57701873779297
2016-06-02,124.8441390991211
2016-06-03,123.9813232421875
2016-06-06,124.68640899658203
2016-06-07,126.27281951904297
2016-06-08,126.26353454589844
2016-06-09,126.1800308227539
2016-06-10,125.6976547241211
2016-06-13,125.35435485839844
2016-06-14,125.02037048339844
2016-06-15,126.8109130859375
2016-06-16,125.3822021484375
2016-06-17,124.41735076904297
2016-06-20,123.54529571533203
2016-06-21,123.7215576171875
2016-06-22,123.48963165283203
2016-06-23,123.0072021484375
2016-06-24,123.3597412109375
2016-06-27,126.73667907714844
2016-06-28,127.30260467529297
2016-06-29,134.26980590820312
2016-06-30,138.26829528808594
2016-07-01,133.3884735107422
2016-07-04,131.57012939453125
2016-07-05,130.54037475585938
