Date,MPWR
2016-04-28,59.37652587890625
2016-04-29,57.73923110961914
2016-05-02,58.74751663208008
2016-05-03,59.61703872680664
2016-05-04,57.59123611450195
2016-05-05,57.05474090576172
2016-05-06,57.82249450683594
2016-05-09,57.21199417114258
2016-05-10,57.72075653076172
2016-05-11,57.65599822998047
2016-05-12,56.36098098754883
2016-05-13,56.842002868652344
2016-05-16,58.14625549316406
2016-05-17,57.43399429321289
2016-05-18,58.28501510620117
2016-05-19,57.46174240112305
2016-05-20,59.311771392822266
2016-05-23,60.46805191040039
2016-05-24,61.87406539916992
2016-05-25,61.87406539916992
2016-05-26,62.771305084228516
2016-05-27,63.38182830810547
2016-05-31,63.20609664916992
2016-06-01,63.56684112548828
2016-06-02,63.53907775878906
2016-06-03,63.54831314086914
2016-06-06,63.61306381225586
