Date,TRGP
2016-04-28,24.863271713256836
2016-04-29,26.612905502319336
2016-05-02,25.59996223449707
2016-05-03,25.119794845581055
2016-05-04,25.744678497314453
2016-05-05,26.23798370361328
2016-05-06,26.310344696044922
2016-05-09,25.540771484375
2016-05-10,26.257722854614258
2016-05-11,27.612707138061523
2016-05-12,27.04703140258789
2016-05-13,26.954940795898438
2016-05-16,28.48752784729004
2016-05-17,28.81639862060547
2016-05-18,27.704788208007812
2016-05-19,28.283628463745117
2016-05-20,29.007143020629883
2016-05-23,28.152067184448242
2016-05-24,27.75741195678711
2016-05-25,28.901905059814453
2016-05-26,28.283628463745117
2016-05-27,28.099443435668945
2016-05-31,28.171802520751953
2016-06-01,28.651968002319336
2016-06-02,28.71773910522461
2016-06-03,28.757211685180664
2016-06-06,29.572830200195312
