Date,TCS.NS
2016-05-04,1063.993896484375
2016-05-05,1060.6878662109375
2016-05-06,1062.018798828125
2016-05-09,1078.8294677734375
2016-05-10,1083.2734375
2016-05-11,1081.2984619140625
2016-05-12,1101.8651123046875
2016-05-13,1083.487548828125
2016-05-16,1095.403076171875
2016-05-17,1103.5826416015625
2016-05-18,1095.3818359375
2016-05-19,1097.893310546875
2016-05-20,1086.0213623046875
2016-05-23,1069.7694091796875
2016-05-24,1059.5712890625
2016-05-25,1084.7974853515625
2016-05-26,1094.35107421875
2016-05-27,1104.6346435546875
2016-05-30,1132.0074462890625
2016-05-31,1103.2392578125
2016-06-01,1130.7838134765625
2016-06-02,1137.9112548828125
2016-06-03,1129.066162109375
2016-06-06,1133.3828125
2016-06-07,1141.4736328125
2016-06-08,1133.643310546875
