Date,AGUAS-A.SN
2016-05-18,241.03306579589844
2016-05-19,237.18260192871094
2016-05-20,235.8324737548828
2016-05-23,238.4563446044922
2016-05-24,241.09292602539062
2016-05-25,241.37948608398438
2016-05-26,240.34141540527344
2016-05-27,240.34779357910156
2016-05-30,240.3350372314453
2016-05-31,241.88258361816406
2016-06-01,239.98475646972656
2016-06-02,237.5775146484375
2016-06-03,237.55203247070312
2016-06-06,238.7938995361328
2016-06-07,243.2646026611328
2016-06-08,242.65318298339844
2016-06-09,239.857421875
2016-06-10,239.1823272705078
2016-06-13,241.1248016357422
2016-06-14,242.4430694580078
2016-06-15,243.0989990234375
2016-06-16,242.6659393310547
2016-06-17,244.12429809570312
2016-06-20,242.95889282226562
2016-06-21,242.80604553222656
2016-06-22,243.23915100097656
2016-06-23,241.03558349609375
