Date,VER.VI
2016-05-25,9.766777038574219
2016-05-27,9.938267707824707
2016-05-30,9.881105422973633
2016-05-31,10.019930839538574
2016-06-01,10.044427871704102
2016-06-02,10.028094291687012
2016-06-03,10.1587553024292
2016-06-06,10.322078704833984
2016-06-07,10.616061210632324
2016-06-08,10.779386520385742
2016-06-09,10.97537612915039
2016-06-10,10.677309036254883
2016-06-13,10.260833740234375
2016-06-14,9.864771842956543
2016-06-15,9.983182907104492
2016-06-16,9.893354415893555
2016-06-17,10.309830665588379
2016-06-20,10.832467079162598
2016-06-21,10.722222328186035
2016-06-22,10.554816246032715
2016-06-23,10.4772367477417
2016-06-24,9.99951457977295
2016-06-27,9.966850280761719
2016-06-28,10.011763572692871
2016-06-29,10.1995849609375
2016-06-30,10.379241943359375
