Date,OCDO.L
2016-06-08,257.79998779296875
2016-06-09,258.3999938964844
2016-06-10,244.0
2016-06-13,224.3000030517578
2016-06-14,217.6999969482422
2016-06-15,222.6999969482422
2016-06-16,222.6999969482422
2016-06-17,231.60000610351562
2016-06-20,238.3000030517578
2016-06-21,245.39999389648438
2016-06-22,249.10000610351562
2016-06-23,253.0
2016-06-24,242.5
2016-06-27,208.10000610351562
2016-06-28,226.0
2016-06-29,222.0
2016-06-30,230.6999969482422
2016-07-01,224.0
2016-07-04,220.6999969482422
2016-07-05,217.5
2016-07-06,215.60000610351562
2016-07-07,224.5
2016-07-08,230.60000610351562
2016-07-11,237.0
2016-07-12,254.5
2016-07-13,254.3000030517578
2016-07-14,259.1000061035156
2016-07-15,262.3999938964844
2016-07-18,265.70001220703125
