Date,PRU
2016-04-28,51.677001953125
2016-04-29,51.47810363769531
2016-05-02,52.16101837158203
2016-05-03,51.365379333496094
2016-05-04,50.56973648071289
2016-05-05,50.27800369262695
2016-05-06,50.423866271972656
2016-05-09,50.14539337158203
2016-05-10,51.15983581542969
2016-05-11,50.52996063232422
2016-05-12,50.67581558227539
2016-05-13,49.992897033691406
2016-05-16,50.35756301879883
2016-05-17,50.3310546875
2016-05-18,52.3930778503418
2016-05-19,51.58417510986328
2016-05-20,51.965538024902344
2016-05-23,51.65108108520508
2016-05-24,52.668052673339844
2016-05-25,53.317039489746094
2016-05-26,52.50077819824219
2016-05-27,53.216678619384766
2016-05-31,53.022647857666016
2016-06-01,52.734962463378906
2016-06-02,52.674747467041016
2016-06-03,50.92850875854492
2016-06-06,51.69791030883789
