Date,RENT3.SA
2016-05-25,8.443209648132324
2016-05-27,8.2145414352417
2016-05-30,8.171825408935547
2016-05-31,8.355262756347656
2016-06-01,8.34018325805664
2016-06-02,8.30500602722168
2016-06-03,8.511055946350098
2016-06-06,8.418083190917969
2016-06-07,8.126590728759766
2016-06-08,8.355262756347656
2016-06-09,8.423110008239746
2016-06-10,8.395465850830078
2016-06-13,8.362798690795898
2016-06-14,8.141668319702148
2016-06-15,8.23715591430664
2016-06-16,8.455779075622559
2016-06-17,8.568853378295898
2016-06-20,8.777422904968262
2016-06-21,9.237276077270508
2016-06-22,8.719627380371094
2016-06-23,8.870401382446289
2016-06-24,8.651780128479004
2016-06-27,8.654291152954102
2016-06-28,8.835216522216797
2016-06-29,8.762348175048828
2016-06-30,8.6693696975708
2016-07-01,8.789651870727539
