Date,SYF
2016-04-28,24.92255401611328
2016-04-29,24.600662231445312
2016-05-02,25.212261199951172
2016-05-03,25.011079788208008
2016-05-04,24.335102081298828
2016-05-05,24.005165100097656
2016-05-06,24.206348419189453
2016-05-09,24.109773635864258
2016-05-10,24.592613220214844
2016-05-11,24.085636138916016
2016-05-12,23.67522430419922
2016-05-13,23.369421005249023
2016-05-16,23.28894805908203
2016-05-17,23.55451202392578
2016-05-18,24.230491638183594
2016-05-19,24.093685150146484
2016-05-20,24.045400619506836
2016-05-23,24.005165100097656
2016-05-24,24.383384704589844
2016-05-25,24.6730899810791
2016-05-26,24.858179092407227
2016-05-27,25.075448989868164
2016-05-31,25.107643127441406
2016-06-01,25.180068969726562
2016-06-02,25.17202377319336
2016-06-03,24.721372604370117
