Date,SYNE3.SA
2016-05-13,1.878049373626709
2016-05-16,1.878049373626709
2016-05-17,1.878049373626709
2016-05-18,1.878049373626709
2016-05-19,1.84010910987854
2016-05-20,1.84010910987854
2016-05-23,1.8742555379867554
2016-05-24,1.859079360961914
2016-05-25,1.8970195055007935
2016-05-27,1.8970195055007935
2016-05-30,1.8970195055007935
2016-05-31,1.8970195055007935
2016-06-01,1.8970195055007935
2016-06-02,1.991870403289795
2016-06-03,1.991870403289795
2016-06-06,1.991870403289795
2016-06-07,1.8951225280761719
2016-06-08,1.8970195055007935
2016-06-09,1.8970195055007935
2016-06-10,1.8970195055007935
2016-06-13,1.8970195055007935
2016-06-14,1.8970195055007935
2016-06-15,1.8970195055007935
2016-06-16,1.9159895181655884
2016-06-17,1.9159895181655884
