Date,KIM
2016-04-28,18.071945190429688
2016-04-29,17.881179809570312
2016-05-02,18.148250579833984
2016-05-03,18.12917709350586
2016-05-04,18.434402465820312
2016-05-05,18.574298858642578
2016-05-06,18.81593894958496
2016-05-09,18.860445022583008
2016-05-10,18.90496253967285
2016-05-11,18.625173568725586
2016-05-12,18.517065048217773
2016-05-13,18.23727798461914
2016-05-16,18.517065048217773
2016-05-17,17.76036262512207
2016-05-18,17.372468948364258
2016-05-19,17.27708625793457
2016-05-20,17.366111755371094
2016-05-23,17.3533935546875
2016-05-24,17.664974212646484
2016-05-25,17.645898818969727
2016-05-26,17.811235427856445
2016-05-27,17.874820709228516
2016-05-31,17.919330596923828
2016-06-01,18.08466339111328
2016-06-02,18.28814697265625
2016-06-03,18.364456176757812
