Date,RNO.PA
2016-05-17,61.03706741333008
2016-05-18,61.139060974121094
2016-05-19,62.01774215698242
2016-05-20,62.67675018310547
2016-05-23,61.96282196044922
2016-05-24,64.03400421142578
2016-05-25,65.21865844726562
2016-05-26,66.95247650146484
2016-05-27,65.8541259765625
2016-05-30,66.80342864990234
2016-05-31,66.16793823242188
2016-06-01,65.17158508300781
2016-06-02,65.51678466796875
2016-06-03,62.98271942138672
2016-06-06,63.061180114746094
2016-06-07,65.0382080078125
2016-06-08,63.939849853515625
2016-06-09,62.42569351196289
2016-06-10,61.26457214355469
2016-06-13,59.73473358154297
2016-06-14,58.3068733215332
2016-06-15,58.15781021118164
2016-06-16,58.48731994628906
2016-06-17,59.76611328125
2016-06-20,61.876522064208984
2016-06-21,61.79022216796875
