Date,CRM
2016-04-28,74.72521209716797
2016-04-29,75.1415786743164
2016-05-02,76.57897186279297
2016-05-03,74.24938201904297
2016-05-04,73.34728240966797
2016-05-05,73.16885375976562
2016-05-06,73.60503387451172
2016-05-09,73.9718246459961
2016-05-10,75.26051330566406
2016-05-11,75.13166046142578
2016-05-12,75.23078155517578
2016-05-13,75.70661163330078
2016-05-16,76.6384506225586
2016-05-17,76.1031494140625
2016-05-18,77.19358825683594
2016-05-19,80.3856201171875
2016-05-20,80.31622314453125
2016-05-23,81.02005767822266
2016-05-24,82.03119659423828
2016-05-25,82.84406280517578
2016-05-26,82.62598419189453
2016-05-27,83.0423355102539
2016-05-31,82.98285675048828
2016-06-01,82.72511291503906
2016-06-02,82.5169448852539
2016-06-03,81.83294677734375
2016-06-06,82.11051177978516
