Date,SPX.L
2018-04-26,5639.11865234375
2018-04-27,5709.0458984375
2018-04-30,5758.9931640625
2018-05-01,5783.9677734375
2018-05-02,5793.95654296875
2018-05-03,5749.00439453125
2018-05-04,5823.92724609375
2018-05-08,5923.822265625
2018-05-09,5898.8486328125
2018-05-10,5978.76416015625
2018-05-11,5978.76416015625
2018-05-14,5973.77001953125
2018-05-15,5978.76416015625
2018-05-16,6073.6650390625
2018-05-17,6078.66064453125
2018-05-18,6103.634765625
2018-05-21,6148.58837890625
2018-05-22,6173.5615234375
2018-05-23,6133.603515625
2018-05-24,6123.61328125
2018-05-25,6203.53076171875
2018-05-29,6168.5673828125
2018-05-30,6148.58837890625
2018-05-31,6173.5615234375
2018-06-01,6218.5146484375
2018-06-04,6253.47900390625
2018-06-05,6313.41650390625
2018-06-06,6353.3740234375
2018-06-07,6393.33251953125
2018-06-08,6368.3583984375
2018-06-11,6398.32666015625
2018-06-12,6408.31689453125
2018-06-13,6438.28515625
2018-06-14,6418.30615234375
2018-06-15,6488.232421875
2018-06-18,6453.26904296875
2018-06-19,6393.33251953125
2018-06-20,6418.30615234375
2018-06-21,6418.30615234375
2018-06-22,6433.29052734375
2018-06-25,6433.29052734375
2018-06-26,6443.28125
2018-06-27,6518.203125
2018-06-28,6518.203125
2018-06-29,6513.20654296875
2018-07-02,6448.275390625
2018-07-03,6438.28515625
2018-07-04,6333.39453125
2018-07-05,6368.3583984375
2018-07-06,6368.3583984375
2018-07-09,6378.34765625
2018-07-10,6533.1865234375
2018-07-11,6543.17578125
2018-07-12,6578.1396484375
2018-07-13,6742.9677734375
2018-07-16,6742.9677734375
2018-07-17,6777.93017578125
2018-07-18,6762.947265625
2018-07-19,6767.94189453125
2018-07-20,6802.90576171875
2018-07-23,6852.85400390625
2018-07-24,6792.916015625
2018-07-25,6802.90576171875
2018-07-26,6837.869140625
2018-07-27,6887.81591796875
2018-07-30,6902.80126953125
2018-07-31,6937.7646484375
2018-08-01,6947.75439453125
