Date,TATACOMM.NS
2016-05-30,258.4878234863281
2016-05-31,249.93353271484375
2016-06-01,244.03024291992188
2016-06-02,243.70233154296875
2016-06-03,241.46121215820312
2016-06-06,240.04005432128906
2016-06-07,247.11854553222656
2016-06-08,247.22784423828125
2016-06-09,244.8501434326172
2016-06-10,243.428955078125
2016-06-13,239.79408264160156
2016-06-14,240.55931091308594
2016-06-15,245.998046875
2016-06-16,242.1718292236328
2016-06-17,245.47877502441406
2016-06-20,247.96575927734375
2016-06-21,250.48016357421875
2016-06-22,248.89492797851562
2016-06-23,247.82916259765625
2016-06-24,244.76817321777344
2016-06-27,245.998046875
2016-06-28,251.3273468017578
2016-06-29,258.2964782714844
2016-06-30,262.61468505859375
2016-07-01,261.7674255371094
2016-07-04,266.33154296875
2016-07-05,267.2061767578125
