Date,AJG
2016-04-28,37.95662307739258
2016-04-29,39.332054138183594
2016-05-02,40.06674575805664
2016-05-03,39.63106155395508
2016-05-04,40.20344161987305
2016-05-05,40.220523834228516
2016-05-06,40.118011474609375
2016-05-09,40.07529830932617
2016-05-10,40.78436279296875
2016-05-11,40.27178955078125
2016-05-12,40.57079315185547
2016-05-13,40.26323318481445
2016-05-16,40.50244140625
2016-05-17,40.314491271972656
2016-05-18,40.639129638671875
2016-05-19,40.68183898925781
2016-05-20,40.81853103637695
2016-05-23,40.66475296020508
2016-05-24,41.117530822753906
2016-05-25,41.12608337402344
2016-05-26,41.015018463134766
2016-05-27,41.177345275878906
2016-05-31,41.28841018676758
2016-06-01,41.245357513427734
2016-06-02,41.54672622680664
2016-06-03,41.21091079711914
2016-06-06,41.17646408081055
