Date,TOP100CASE.NS
2025-03-21,9.890000343322754
2025-03-24,10.0
2025-03-25,10.0
2025-03-26,9.920000076293945
2025-03-27,9.960000038146973
2025-03-28,9.930000305175781
2025-04-01,9.819999694824219
2025-04-02,9.90999984741211
2025-04-03,9.880000114440918
2025-04-04,9.710000038146973
2025-04-07,9.260000228881836
2025-04-08,9.520000457763672
2025-04-09,9.520000457763672
2025-04-11,9.680000305175781
2025-04-15,9.869999885559082
2025-04-16,9.899999618530273
2025-04-17,10.069999694824219
2025-04-21,10.1899995803833
2025-04-22,10.210000038146973
2025-04-23,10.270000457763672
2025-04-24,10.25
2025-04-25,10.130000114440918
2025-04-28,10.260000228881836
2025-04-29,10.279999732971191
2025-04-30,10.229999542236328
2025-05-02,10.279999732971191
2025-05-05,10.300000190734863
