Date,COPEC.SN
2021-05-25,7208.2021484375
2021-05-26,7098.2294921875
2021-05-27,7103.228515625
2021-05-28,7208.2021484375
2021-05-31,7308.17724609375
2021-06-01,7498.13037109375
2021-06-02,7498.13037109375
2021-06-03,7219.69921875
2021-06-04,7078.13525390625
2021-06-07,7008.2529296875
2021-06-08,7078.23486328125
2021-06-09,7320.6748046875
2021-06-10,7138.2197265625
2021-06-11,7205.30322265625
2021-06-14,7448.14306640625
2021-06-15,7597.10546875
2021-06-16,7548.1171875
2021-06-17,7399.154296875
2021-06-18,7358.16455078125
2021-06-22,7498.13037109375
2021-06-23,7428.1474609375
2021-06-24,7498.13037109375
2021-06-25,7309.1767578125
2021-06-29,7296.1806640625
2021-06-30,7228.197265625
2021-07-01,7163.21435546875
2021-07-02,7148.2177734375
2021-07-05,7098.2294921875
2021-07-06,6850.29248046875
2021-07-07,6948.26708984375
2021-07-08,6768.31201171875
2021-07-09,6698.330078125
2021-07-12,6619.349609375
2021-07-13,6553.3662109375
2021-07-14,6333.4208984375
2021-07-15,6211.65087890625
2021-07-19,6533.1708984375
2021-07-20,6598.35498046875
2021-07-21,6498.37890625
2021-07-22,6508.37744140625
2021-07-23,6327.421875
2021-07-26,6148.46630859375
2021-07-27,6138.46923828125
2021-07-28,6319.82373046875
2021-07-29,6498.37890625
2021-07-30,6548.36669921875
2021-08-02,6398.404296875
2021-08-03,6338.419921875
2021-08-04,6331.12109375
2021-08-05,6383.408203125
2021-08-06,6408.40185546875
2021-08-09,6233.4453125
2021-08-10,6648.2421875
2021-08-11,6674.63525390625
2021-08-12,6565.36279296875
2021-08-13,6598.35498046875
2021-08-16,6371.4111328125
2021-08-17,6509.376953125
2021-08-18,6548.36669921875
2021-08-19,6438.39453125
2021-08-20,6438.39453125
2021-08-23,6547.36669921875
2021-08-24,6498.37890625
2021-08-25,6693.33056640625
2021-08-26,6758.31396484375
2021-08-27,6923.27392578125
2021-08-30,7143.21875
2021-08-31,7197.20458984375
2021-09-01,7048.24267578125
2021-09-02,6929.27197265625
2021-09-03,7163.21435546875
2021-09-06,7188.20703125
2021-09-07,7100.62890625
2021-09-08,7034.24609375
2021-09-09,7098.32958984375
2021-09-10,7173.2109375
2021-09-13,6998.2548828125
2021-09-14,7047.24267578125
2021-09-15,7098.2294921875
2021-09-16,7298.18017578125
2021-09-20,6848.29248046875
2021-09-21,6700.32958984375
2021-09-22,6783.30810546875
2021-09-23,6862.28857421875
2021-09-24,6796.30517578125
2021-09-27,6698.330078125
2021-09-28,6568.36181640625
2021-09-29,6568.36181640625
2021-09-30,6728.32177734375
2021-10-01,6778.31005859375
2021-10-04,6583.3583984375
2021-10-05,6498.37890625
2021-10-06,6313.42578125
2021-10-07,6198.4541015625
2021-10-08,6180.458984375
2021-10-12,6177.45947265625
2021-10-13,5897.529296875
2021-10-14,5798.55419921875
2021-10-15,5856.5400390625
2021-10-18,5948.5166015625
2021-10-19,5923.5234375
2021-10-20,6058.4892578125
2021-10-21,6148.46630859375
2021-10-22,6198.66552734375
2021-10-25,6428.81640625
2021-10-26,6728.5517578125
2021-10-27,6319.6396484375
2021-10-28,6385.8251953125
2021-10-29,6398.623046875
2021-11-02,6398.623046875
2021-11-03,6688.56103515625
2021-11-04,6553.9130859375
2021-11-05,6368.943359375
2021-11-08,6124.98388671875
2021-11-09,6448.9306640625
2021-11-10,6597.90625
2021-11-11,6618.90234375
2021-11-12,6400.93896484375
2021-11-15,6049.99658203125
2021-11-16,5889.0234375
2021-11-17,5899.02197265625
2021-11-18,6177.97509765625
2021-11-19,6241.96484375
2021-11-22,6898.85595703125
2021-11-23,6698.8896484375
2021-11-24,6398.93896484375
2021-11-25,6211.9697265625
2021-11-26,6448.9306640625
2021-11-29,6448.9306640625
2021-11-30,6101.9873046875
2021-12-01,6128.9833984375
2021-12-02,6378.9423828125
2021-12-03,6198.9716796875
2021-12-06,6225.96728515625
2021-12-07,6148.97998046875
2021-12-09,6198.9716796875
2021-12-10,6298.95556640625
2021-12-13,6029.00048828125
2021-12-14,5989.0068359375
2021-12-15,6298.95556640625
2021-12-16,6598.90576171875
2021-12-17,6635.49951171875
2021-12-20,6398.93896484375
2021-12-21,6330.44970703125
2021-12-22,6188.97314453125
2021-12-23,6546.21484375
2021-12-24,6498.921875
2021-12-27,6278.3583984375
2021-12-28,6338.94921875
2021-12-29,6408.93701171875
2021-12-30,6584.908203125
2022-01-03,6478.92529296875
2022-01-04,6428.93359375
2022-01-05,6338.94921875
2022-01-06,6248.96435546875
2022-01-07,6165.9775390625
2022-01-10,6198.9716796875
2022-01-11,6278.95849609375
2022-01-12,6418.935546875
2022-01-13,6598.90576171875
2022-01-14,6648.8974609375
2022-01-17,6622.90234375
2022-01-18,6544.9150390625
2022-01-19,6268.9609375
2022-01-20,6371.943359375
2022-01-21,7098.82275390625
2022-01-24,6923.85205078125
2022-01-25,6926.35107421875
2022-01-26,6758.87841796875
2022-01-27,6886.8583984375
2022-01-28,6718.88623046875
2022-01-31,6718.88623046875
2022-02-01,6703.8876953125
2022-02-02,6482.72412109375
2022-02-03,6286.9580078125
2022-02-04,6238.86474609375
2022-02-07,6308.95361328125
2022-02-08,6688.890625
2022-02-09,6728.8837890625
2022-02-10,6695.08984375
2022-02-11,6761.57861328125
2022-02-14,6598.90576171875
2022-02-15,6747.880859375
2022-02-16,6748.880859375
2022-02-17,6503.92138671875
2022-02-18,6638.798828125
2022-02-21,6436.9326171875
2022-02-22,6378.7421875
2022-02-23,6199.171875
2022-02-24,6273.75927734375
2022-02-25,6233.9658203125
2022-02-28,6198.9716796875
2022-03-01,6166.57763671875
2022-03-02,6238.96484375
2022-03-03,6348.94677734375
2022-03-04,6590.90673828125
2022-03-07,6677.5927734375
2022-03-08,6548.91357421875
2022-03-09,6548.91357421875
2022-03-10,6608.90380859375
2022-03-11,6561.8115234375
2022-03-14,6658.89599609375
2022-03-15,6648.8974609375
2022-03-16,6598.90576171875
2022-03-17,6638.89892578125
2022-03-18,6922.15185546875
2022-03-21,6998.8388671875
2022-03-22,6678.79248046875
2022-03-23,6498.921875
2022-03-24,6748.880859375
2022-03-25,6698.8896484375
2022-03-28,6683.8916015625
2022-03-29,6678.892578125
2022-03-30,6406.93701171875
2022-03-31,6498.921875
2022-04-01,6578.9091796875
2022-04-04,6648.8974609375
2022-04-05,6637.89892578125
2022-04-06,6783.875
2022-04-07,6736.98291015625
2022-04-08,6863.86181640625
2022-04-11,6798.87255859375
2022-04-12,6888.857421875
2022-04-13,6748.880859375
2022-04-14,6743.68115234375
2022-04-18,6498.921875
2022-04-19,6547.91357421875
2022-04-20,6668.89404296875
2022-04-21,6697.8896484375
2022-04-22,6498.921875
2022-04-25,6279.95849609375
2022-04-26,6302.95458984375
2022-04-27,6298.95556640625
2022-04-28,6198.9716796875
2022-04-29,6268.9609375
2022-05-02,6188.97314453125
2022-05-03,6152.9794921875
2022-05-04,6278.95849609375
2022-05-05,6169.9765625
2022-05-06,6103.9873046875
2022-05-09,5988.17724609375
2022-05-10,5949.18212890625
2022-05-11,5849.1962890625
2022-05-12,5799.20263671875
2022-05-13,5949.58203125
2022-05-16,5969.17919921875
2022-05-17,6169.15185546875
2022-05-18,5950.18212890625
2022-05-19,6020.17236328125
2022-05-20,6237.7421875
