Date,OTIS
2020-12-11,59.67407989501953
2020-12-14,58.784542083740234
2020-12-15,60.61044692993164
2020-12-16,61.08798599243164
2020-12-17,61.602989196777344
2020-12-18,61.43443298339844
2020-12-21,61.94008255004883
2020-12-22,61.24717330932617
2020-12-23,61.45317077636719
2020-12-24,61.602989196777344
2020-12-28,61.79962158203125
2020-12-29,61.50935745239258
2020-12-30,62.47378921508789
2020-12-31,63.2509765625
2021-01-04,61.41569900512695
2021-01-05,60.95689010620117
2021-01-06,62.65170669555664
2021-01-07,63.466331481933594
2021-01-08,62.5767936706543
2021-01-11,62.136714935302734
2021-01-12,61.07862854003906
2021-01-13,59.89881134033203
2021-01-14,60.80708312988281
2021-01-15,61.359527587890625
2021-01-19,61.209716796875
2021-01-20,61.04117202758789
2021-01-21,59.477455139160156
