Date,BARC.L
2016-05-20,175.39979553222656
2016-05-23,175.25015258789062
2016-05-24,180.93556213378906
2016-05-25,185.27447509765625
2016-05-26,184.326904296875
2016-05-27,185.72329711914062
2016-05-31,181.9330291748047
2016-06-01,179.4893035888672
2016-06-02,179.93812561035156
2016-06-03,179.19003295898438
2016-06-06,179.63893127441406
2016-06-07,179.78851318359375
2016-06-08,177.59417724609375
2016-06-09,175.5992889404297
2016-06-10,168.96630859375
2016-06-13,164.72718811035156
2016-06-14,159.6402587890625
2016-06-15,160.53799438476562
2016-06-16,158.09422302246094
2016-06-17,165.32565307617188
2016-06-20,176.39724731445312
2016-06-21,179.88829040527344
2016-06-22,181.53402709960938
2016-06-23,186.47134399414062
2016-06-24,153.50599670410156
2016-06-27,126.87434387207031
2016-06-28,131.163330078125
