Date,CONCOR.NS
2016-05-31,432.4812316894531
2016-06-01,423.2248229980469
2016-06-02,416.59814453125
2016-06-03,406.40997314453125
2016-06-06,400.4444580078125
2016-06-07,405.6136474609375
2016-06-08,409.7609558105469
2016-06-09,407.8225402832031
2016-06-10,407.52197265625
2016-06-13,408.5888671875
2016-06-14,402.6834411621094
2016-06-15,405.56854248046875
2016-06-16,404.6067810058594
2016-06-17,398.1003112792969
2016-06-20,402.9389343261719
2016-06-21,400.1739807128906
2016-06-22,401.39111328125
2016-06-23,406.25970458984375
2016-06-24,408.4385681152344
2016-06-27,407.3116455078125
2016-06-28,415.1104431152344
2016-06-29,436.10260009765625
2016-06-30,429.92669677734375
2016-07-01,438.58203125
2016-07-04,436.2679443359375
2016-07-05,440.1297607421875
2016-07-07,440.5655517578125
