Date,GOOGL
2016-04-28,35.04283142089844
2016-04-29,35.18299865722656
2016-05-02,35.50755310058594
2016-05-03,35.21083068847656
2016-05-04,35.3564567565918
2016-05-05,35.5224609375
2016-05-06,36.04283905029297
2016-05-09,36.23916244506836
2016-05-10,36.74860763549805
2016-05-11,36.30973815917969
2016-05-12,36.18647766113281
2016-05-13,36.02544021606445
2016-05-16,36.29731369018555
2016-05-17,35.794822692871094
2016-05-18,35.87385177612305
2016-05-19,35.55228042602539
2016-05-20,35.87036895751953
2016-05-23,35.648704528808594
2016-05-24,36.43300247192383
2016-05-25,36.68498611450195
2016-05-26,36.626834869384766
2016-05-27,37.15715026855469
2016-05-31,37.21928787231445
2016-06-01,37.19990539550781
2016-06-02,36.99164581298828
2016-06-03,36.57365417480469
2016-06-06,36.28538131713867
