Date,PNVL3.SA
2016-05-25,9.291926383972168
2016-05-27,9.608370780944824
2016-05-30,9.49329662322998
2016-05-31,9.49329662322998
2016-06-01,8.95275592803955
2016-06-02,8.716572761535645
2016-06-03,9.205336570739746
2016-06-06,9.378225326538086
2016-06-07,9.571545600891113
2016-06-08,10.06836223602295
2016-06-09,10.35632610321045
2016-06-10,10.581865310668945
2016-06-13,10.787550926208496
2016-06-14,10.859472274780273
2016-06-15,11.01797866821289
2016-06-16,11.219355583190918
2016-06-17,11.334424018859863
2016-06-20,11.478261947631836
2016-06-21,11.507030487060547
2016-06-22,11.535796165466309
2016-06-23,11.938542366027832
2016-06-24,11.938542366027832
2016-06-27,11.932503700256348
2016-06-28,12.024557113647461
2016-06-29,12.283753395080566
2016-06-30,12.341287612915039
2016-07-01,12.326903343200684
