Date,ICICIBANK.NS
2016-05-31,207.69219970703125
2016-06-01,203.78707885742188
2016-06-02,204.89071655273438
2016-06-03,206.9281463623047
2016-06-06,206.71592712402344
2016-06-07,215.71463012695312
2016-06-08,218.72833251953125
2016-06-09,216.09666442871094
2016-06-10,214.44122314453125
2016-06-13,206.9281463623047
2016-06-14,207.94688415527344
2016-06-15,210.49366760253906
2016-06-16,207.11468505859375
2016-06-17,206.59483337402344
2016-06-20,206.2915802001953
2016-06-21,206.0749969482422
2016-06-22,207.0713653564453
2016-06-23,208.71755981445312
2016-06-24,200.0968017578125
2016-06-27,201.61300659179688
2016-06-28,202.00289916992188
2016-06-29,205.0353240966797
2016-06-30,208.414306640625
2016-07-01,208.24102783203125
2016-07-04,214.99899291992188
2016-07-05,212.3564453125
2016-07-07,212.13986206054688
