Date,FTV
2017-03-30,36.15646743774414
2017-03-31,36.520320892333984
2017-04-03,36.46574783325195
2017-04-04,36.39904022216797
2017-04-05,36.538536071777344
2017-04-06,36.73258972167969
2017-04-07,36.67195510864258
2017-04-10,36.99336624145508
2017-04-11,36.8538703918457
2017-04-12,36.69014358520508
2017-04-13,36.5870475769043
2017-04-17,36.678009033203125
2017-04-18,36.550662994384766
2017-04-19,36.39297103881836
2017-04-20,36.756839752197266
2017-04-21,36.39297103881836
2017-04-24,37.254127502441406
2017-04-25,37.79993438720703
2017-04-26,37.75141525268555
2017-04-27,37.79387283325195
2017-04-28,38.36393356323242
2017-05-01,37.80599594116211
2017-05-02,37.708961486816406
2017-05-03,38.006126403808594
2017-05-04,38.09709167480469
2017-05-05,38.291160583496094
2017-05-08,38.13954544067383
