Date,KEPL3.SA
2016-05-13,1.5571264028549194
2016-05-16,1.5590239763259888
2016-05-17,1.581797480583191
2016-05-18,1.5950819253921509
2016-05-19,1.589388370513916
2016-05-20,1.54384183883667
2016-05-23,1.5210682153701782
2016-05-24,1.5419443845748901
2016-05-25,1.527711033821106
2016-05-27,1.5514333248138428
2016-05-30,1.5836948156356812
2016-05-31,1.5836948156356812
2016-06-01,1.5334042310714722
2016-06-02,1.5514333248138428
2016-06-03,1.565666675567627
2016-06-06,1.5561773777008057
2016-06-07,1.5514333248138428
2016-06-08,1.564717411994934
2016-06-09,1.5514333248138428
2016-06-10,1.5182219743728638
2016-06-13,1.5144269466400146
2016-06-14,1.4992440938949585
2016-06-15,1.5134776830673218
2016-06-16,1.546688437461853
2016-06-17,1.546688437461853
2016-06-20,1.565666675567627
