Date,ABI.BR
2016-05-17,91.14520263671875
2016-05-18,90.72958374023438
2016-05-19,89.98148345947266
2016-05-20,90.85427856445312
2016-05-23,90.27239990234375
2016-05-24,92.80768585205078
2016-05-25,94.4285888671875
2016-05-26,94.76110076904297
2016-05-27,94.71952056884766
2016-05-30,95.13513946533203
2016-05-31,94.63641357421875
2016-06-01,95.09359741210938
2016-06-02,95.17671203613281
2016-06-03,94.01296997070312
2016-06-06,95.09359741210938
2016-06-07,96.04952239990234
2016-06-08,95.55076599121094
2016-06-09,94.9688949584961
2016-06-10,93.01549530029297
2016-06-13,91.18677520751953
2016-06-14,90.31398010253906
2016-06-15,92.22581481933594
2016-06-16,92.22581481933594
2016-06-17,91.43614959716797
2016-06-20,93.72203063964844
2016-06-21,94.71952056884766
2016-06-22,95.09359741210938
