Date,TRITURBINE.NS
2016-01-11,100.94956970214844
2016-01-12,98.05172729492188
2016-01-13,96.24650573730469
2016-01-14,96.86405944824219
2016-01-15,95.24887084960938
2016-01-18,92.35104370117188
2016-01-19,98.3367691040039
2016-01-20,94.15626525878906
2016-01-21,93.96623229980469
2016-01-22,94.77383422851562
2016-01-25,95.29640197753906
2016-01-27,94.91635131835938
2016-01-28,94.91635131835938
2016-01-29,94.86885070800781
2016-02-01,94.20376586914062
2016-02-02,92.16101837158203
2016-02-03,91.11590576171875
2016-02-04,90.26079559326172
2016-02-05,92.25602722167969
2016-02-08,92.4935531616211
2016-02-09,92.1135025024414
2016-02-10,92.16101837158203
2016-02-11,90.21328735351562
2016-02-12,89.78572082519531
2016-02-15,90.26079559326172
2016-02-16,88.59809875488281
2016-02-17,89.45319366455078
2016-02-18,89.78572082519531
2016-02-19,87.60047149658203
2016-02-22,87.07791137695312
2016-02-23,90.11827087402344
2016-02-24,88.12303161621094
2016-02-25,87.50545501708984
2016-02-26,87.17293548583984
2016-02-29,85.6052474975586
2016-03-01,86.50785064697266
2016-03-02,90.30829620361328
2016-03-03,93.06362915039062
2016-03-04,93.44367980957031
2016-03-08,93.11112976074219
2016-03-09,93.87122344970703
2016-03-10,94.91635131835938
2016-03-11,93.25364685058594
2016-03-14,94.20376586914062
2016-03-15,94.4412841796875
2016-03-16,95.20138549804688
2016-03-17,92.30354309082031
2016-03-18,95.01136779785156
2016-03-21,95.9139633178711
2016-03-22,95.53126525878906
2016-03-23,92.6131820678711
2016-03-28,91.99129486083984
2016-03-29,89.16888427734375
2016-03-30,91.08238220214844
2016-03-31,91.5129165649414
2016-04-01,92.42182159423828
2016-04-04,95.81829833984375
2016-04-05,95.6747817993164
2016-04-06,94.8615493774414
2016-04-07,93.76128387451172
2016-04-08,93.09156036376953
2016-04-11,93.1872329711914
2016-04-12,93.90479278564453
2016-04-13,91.99129486083984
2016-04-18,95.14856719970703
2016-04-20,93.71344757080078
2016-04-21,93.1872329711914
2016-04-22,93.56993865966797
2016-04-25,98.54501342773438
2016-04-26,102.32416534423828
2016-04-27,103.61578369140625
2016-04-28,101.12823486328125
2016-04-29,105.14657592773438
2016-05-02,106.67737579345703
2016-05-03,106.8208999633789
2016-05-04,104.81170654296875
2016-05-05,103.56794738769531
2016-05-06,104.14198303222656
2016-05-09,102.65904235839844
2016-05-10,104.3333511352539
2016-05-11,102.75471496582031
2016-05-12,103.3765869140625
2016-05-13,104.3333511352539
2016-05-16,105.29010009765625
2016-05-17,108.06464385986328
2016-05-18,106.2468490600586
2016-05-19,105.81631469726562
2016-05-20,103.85498809814453
2016-05-23,102.46768188476562
2016-05-24,104.3333511352539
2016-05-25,103.0417251586914
2016-05-26,103.08958435058594
2016-05-27,104.14198303222656
