Date,BK
2016-04-28,31.75541114807129
2016-04-29,31.57494354248047
2016-05-02,31.99081802368164
2016-05-03,31.237529754638672
2016-05-04,30.821666717529297
2016-05-05,30.915830612182617
2016-05-06,31.017833709716797
2016-05-09,30.89227867126465
2016-05-10,31.57494354248047
2016-05-11,31.284618377685547
2016-05-12,31.182619094848633
2016-05-13,30.947208404541016
2016-05-16,31.182619094848633
2016-05-17,31.261096954345703
2016-05-18,32.28114700317383
2016-05-19,32.03789520263672
2016-05-20,32.226219177246094
2016-05-23,32.14775466918945
2016-05-24,32.70486068725586
2016-05-25,33.1207389831543
2016-05-26,32.9794921875
2016-05-27,33.167816162109375
2016-05-31,33.00303268432617
2016-06-01,33.1521110534668
2016-06-02,33.081504821777344
2016-06-03,32.57931137084961
2016-06-06,33.261985778808594
