Date,RACE.MI
2016-09-23,42.27511215209961
2016-09-26,41.83494567871094
2016-09-27,41.956687927246094
2016-09-28,42.5654411315918
2016-09-29,42.61226272583008
2016-09-30,43.29593276977539
2016-10-03,43.52070617675781
2016-10-04,44.3448486328125
2016-10-05,44.644535064697266
2016-10-06,44.672637939453125
2016-10-07,44.85995101928711
2016-10-10,45.140907287597656
2016-10-11,45.028526306152344
2016-10-12,45.1877326965332
2016-10-13,44.916133880615234
2016-10-14,45.047245025634766
2016-10-17,44.644535064697266
2016-10-18,44.46660232543945
2016-10-19,44.72882843017578
2016-10-20,45.140907287597656
2016-10-21,45.09408187866211
2016-10-24,45.5904426574707
2016-10-25,45.44059753417969
2016-10-26,45.656002044677734
2016-10-27,45.44059753417969
2016-10-28,45.49679183959961
