Date,AUTO.L
2016-05-23,383.2181091308594
2016-05-24,402.1992492675781
2016-05-25,402.89849853515625
2016-05-26,399.6018371582031
2016-05-27,397.3041076660156
2016-05-31,392.6088562011719
2016-06-01,393.2082214355469
2016-06-02,399.00238037109375
2016-06-03,394.6068115234375
2016-06-06,404.0973815917969
2016-06-07,402.39898681640625
2016-06-08,402.0992736816406
2016-06-09,423.6778564453125
2016-06-10,417.58392333984375
2016-06-13,406.794677734375
2016-06-14,392.0093078613281
2016-06-15,390.0113220214844
2016-06-16,388.61273193359375
2016-06-17,401.3001708984375
2016-06-20,413.8875732421875
2016-06-21,414.3870849609375
2016-06-22,412.48895263671875
2016-06-23,417.58392333984375
2016-06-24,378.7226257324219
2016-06-27,327.6734924316406
2016-06-28,344.4567565917969
2016-06-29,349.9512634277344
