Date,KPITTECH.NS
2020-01-23,94.55258178710938
2020-01-24,97.48629760742188
2020-01-27,97.34203338623047
2020-01-28,95.12971496582031
2020-01-29,95.08162689208984
2020-01-30,95.89921569824219
2020-01-31,95.65873718261719
2020-02-03,94.69686126708984
2020-02-04,94.1678466796875
2020-02-05,93.2059555053711
2020-02-06,91.71503448486328
2020-02-07,92.43645477294922
2020-02-10,93.2059555053711
2020-02-11,91.52265167236328
2020-02-12,87.57896423339844
2020-02-13,85.55902862548828
2020-02-14,86.37662506103516
2020-02-17,84.39262390136719
2020-02-18,82.69895935058594
2020-02-19,86.76374053955078
2020-02-20,84.34423065185547
2020-02-24,84.73135375976562
2020-02-25,85.50559997558594
2020-02-26,83.86033630371094
2020-02-27,82.3602294921875
2020-02-28,79.11809539794922
2020-03-02,79.11809539794922
