Date,COMMOIETF.NS
2024-09-19,93.87000274658203
2024-09-20,94.87999725341797
2024-09-23,95.68000030517578
2024-09-24,96.68000030517578
2024-09-25,96.94000244140625
2024-09-26,97.75
2024-09-27,99.0999984741211
2024-09-30,98.7699966430664
2024-10-01,98.66999816894531
2024-10-03,97.4000015258789
2024-10-04,96.29000091552734
2024-10-07,94.81999969482422
2024-10-08,94.5999984741211
2024-10-09,94.2699966430664
2024-10-10,94.54000091552734
2024-10-11,94.61000061035156
2024-10-14,94.56999969482422
2024-10-15,94.18000030517578
2024-10-16,94.0199966430664
2024-10-17,92.70999908447266
2024-10-18,93.68000030517578
2024-10-21,92.56999969482422
2024-10-22,90.38999938964844
2024-10-23,90.05999755859375
2024-10-24,90.4000015258789
2024-10-25,88.37999725341797
2024-10-28,89.16000366210938
