Date,PFG
2016-04-28,30.397008895874023
2016-04-29,30.26229476928711
2016-05-02,30.70899772644043
2016-05-03,29.61705780029297
2016-05-04,29.765947341918945
2016-05-05,29.95738983154297
2016-05-06,29.92194938659668
2016-05-09,29.716331481933594
2016-05-10,30.4537353515625
2016-05-11,30.14883041381836
2016-05-12,30.099212646484375
2016-05-13,29.687952041625977
2016-05-16,29.89358139038086
2016-05-17,29.836854934692383
2016-05-18,30.822439193725586
2016-05-19,30.035388946533203
2016-05-20,30.62389373779297
2016-05-23,30.58135414123535
2016-05-24,31.290424346923828
2016-05-25,31.48894691467285
2016-05-26,31.226604461669922
2016-05-27,31.48894691467285
2016-05-31,31.595312118530273
2016-06-01,31.347126007080078
2016-06-02,31.42582130432129
2016-06-03,30.63176727294922
2016-06-06,31.089599609375
