Date,IGL.NS
2016-05-30,50.312583923339844
2016-05-31,49.60651779174805
2016-06-01,49.89071273803711
2016-06-02,50.579017639160156
2016-06-03,50.126068115234375
2016-06-06,51.07193374633789
2016-06-07,51.142974853515625
2016-06-08,51.3028450012207
2016-06-09,50.87209701538086
2016-06-10,51.72026062011719
2016-06-13,51.69361877441406
2016-06-14,54.31804275512695
2016-06-15,54.64665603637695
2016-06-16,54.9708251953125
2016-06-17,54.93529510498047
2016-06-20,54.73546600341797
2016-06-21,54.77098846435547
2016-06-22,53.68303298950195
2016-06-23,53.945037841796875
2016-06-24,53.83401107788086
2016-06-27,53.798492431640625
2016-06-28,54.522315979003906
2016-06-29,55.6635627746582
2016-06-30,55.73460388183594
2016-07-01,54.677734375
2016-07-04,54.94861602783203
2016-07-05,54.286956787109375
