Date,AVGO
2016-04-28,11.391816139221191
2016-04-29,11.21938705444336
2016-05-02,11.244790077209473
2016-05-03,11.023097038269043
2016-05-04,10.936110496520996
2016-05-05,10.97536849975586
2016-05-06,10.922256469726562
2016-05-09,10.961512565612793
2016-05-10,11.131635665893555
2016-05-11,11.07313060760498
2016-05-12,10.856827735900879
2016-05-13,10.780620574951172
2016-05-16,10.980762481689453
2016-05-17,10.86683464050293
2016-05-18,11.075439453125
2016-05-19,10.987686157226562
2016-05-20,11.294827461242676
2016-05-23,11.400282859802246
2016-05-24,11.655847549438477
2016-05-25,11.8213472366333
2016-05-26,11.779012680053711
2016-05-27,11.800564765930176
2016-05-31,11.882159233093262
2016-06-01,11.913722038269043
2016-06-02,11.924494743347168
2016-06-03,12.513371467590332
