Date,HABITAT.SN
2016-05-18,271.7391662597656
2016-05-19,275.2632141113281
2016-05-20,275.2632141113281
2016-05-23,272.0625
2016-05-24,272.0625
2016-05-25,275.2632141113281
2016-05-26,285.3839111328125
2016-05-27,288.4822998046875
2016-05-30,288.3862609863281
2016-05-31,276.22344970703125
2016-06-01,284.8653869628906
2016-06-02,284.8653869628906
2016-06-03,278.4639587402344
2016-06-06,275.29522705078125
2016-06-07,276.8636169433594
2016-06-08,287.42596435546875
2016-06-09,284.8653869628906
2016-06-10,281.66461181640625
2016-06-13,281.66461181640625
2016-06-14,281.66461181640625
2016-06-15,281.9847412109375
2016-06-16,276.8603210449219
2016-06-17,276.8636169433594
2016-06-20,276.8636169433594
2016-06-21,276.87957763671875
2016-06-22,275.5832824707031
2016-06-23,275.7432861328125
2016-06-24,275.5832824707031
