Date,KKR
2016-04-28,11.693666458129883
2016-04-29,11.424845695495605
2016-05-02,11.290433883666992
2016-05-03,11.477477073669434
2016-05-04,11.383955955505371
2016-05-05,11.196915626525879
2016-05-06,11.196915626525879
2016-05-09,11.09489631652832
2016-05-10,11.052388191223145
2016-05-11,10.924858093261719
2016-05-12,11.035383224487305
2016-05-13,10.771825790405273
2016-05-16,11.060885429382324
2016-05-17,11.162908554077148
2016-05-18,11.162908554077148
2016-05-19,10.899352073669434
2016-05-20,11.09489631652832
2016-05-23,11.103397369384766
2016-05-24,11.37545394897461
2016-05-25,11.53699016571045
2016-05-26,11.409462928771973
2016-05-27,11.49448299407959
2016-05-31,11.485979080200195
2016-06-01,11.588004112243652
2016-06-02,11.613507270812988
2016-06-03,11.511483192443848
