Date,CPR.MI
2016-05-06,3.951329469680786
2016-05-09,4.06734037399292
2016-05-10,4.081262111663818
2016-05-11,3.993093490600586
2016-05-12,3.967571258544922
2016-05-13,3.9814929962158203
2016-05-16,3.962930679321289
2016-05-17,3.888683557510376
2016-05-18,3.893324136734009
2016-05-19,3.7958755493164062
2016-05-20,3.914206027984619
2016-05-23,3.8930983543395996
2016-05-24,4.026777744293213
2016-05-25,4.0854082107543945
2016-05-26,4.0760273933410645
2016-05-27,4.083062648773193
2016-05-30,4.099479675292969
2016-05-31,4.07368278503418
2016-06-01,4.090098857879639
2016-06-02,4.099479675292969
2016-06-03,4.10182523727417
2016-06-06,4.087753772735596
2016-06-07,4.113552093505859
2016-06-08,4.08071756362915
2016-06-09,4.019742012023926
2016-06-10,3.9048244953155518
