Date,METROPOLIS.NS
2020-01-14,1659.81396484375
2020-01-15,1633.031005859375
2020-01-16,1592.3424072265625
2020-01-17,1618.83154296875
2020-01-20,1632.63916015625
2020-01-21,1609.528564453125
2020-01-22,1609.675537109375
2020-01-23,1636.360595703125
2020-01-24,1640.32666015625
2020-01-27,1600.5191650390625
2020-01-28,1626.1761474609375
2020-01-29,1646.00634765625
2020-01-30,1619.6639404296875
2020-01-31,1620.3004150390625
2020-02-03,1631.2681884765625
2020-02-04,1624.2174072265625
2020-02-05,1625.7353515625
2020-02-06,1553.3673095703125
2020-02-07,1626.0782470703125
2020-02-10,1583.039306640625
2020-02-11,1657.1209716796875
2020-02-12,1801.661376953125
2020-02-13,1788.2359619140625
2020-02-14,1740.5340576171875
2020-02-17,1720.7645263671875
2020-02-18,1795.4649658203125
