Date,PNB.NS
2016-05-10,76.5942611694336
2016-05-11,73.76431274414062
2016-05-12,73.62512969970703
2016-05-13,72.00138092041016
2016-05-16,69.54257202148438
2016-05-17,68.42915344238281
2016-05-18,70.702392578125
2016-05-19,68.70751953125
2016-05-20,68.05801391601562
2016-05-23,67.0373764038086
2016-05-24,66.6662368774414
2016-05-25,68.6611099243164
2016-05-26,69.17144012451172
2016-05-27,71.07353210449219
2016-05-30,71.63024139404297
2016-05-31,73.30037689208984
2016-06-01,71.16631317138672
2016-06-02,71.8622055053711
2016-06-03,70.656005859375
2016-06-06,71.4446792602539
2016-06-07,72.04778289794922
2016-06-08,74.87772369384766
2016-06-09,76.36229705810547
2016-06-10,78.12521362304688
2016-06-13,77.01178741455078
2016-06-14,83.41398620605469
2016-06-15,83.50676727294922
