Date,ABB.NS
2016-05-05,1088.1707763671875
2016-05-06,1091.8111572265625
2016-05-09,1098.6533203125
2016-05-10,1126.5048828125
2016-05-11,1118.785400390625
2016-05-12,1126.63623046875
2016-05-13,1108.609619140625
2016-05-16,1108.52197265625
2016-05-17,1104.6182861328125
2016-05-18,1103.346435546875
2016-05-19,1088.91650390625
2016-05-20,1060.5391845703125
2016-05-23,1069.8372802734375
2016-05-24,1044.4423828125
2016-05-25,1067.6883544921875
2016-05-26,1090.627197265625
2016-05-27,1099.9693603515625
2016-05-30,1063.8284912109375
2016-05-31,1085.1005859375
2016-06-01,1082.7762451171875
2016-06-02,1068.6531982421875
2016-06-03,1063.872314453125
2016-06-06,1065.6268310546875
2016-06-07,1062.0301513671875
2016-06-08,1082.2060546875
2016-06-09,1061.898681640625
