Date,BG
2016-04-28,47.613040924072266
2016-04-29,47.605430603027344
2016-05-02,47.62065505981445
2016-05-03,47.06462097167969
2016-05-04,47.277896881103516
2016-05-05,46.15059280395508
2016-05-06,46.42481231689453
2016-05-09,46.21914291381836
2016-05-10,46.699005126953125
2016-05-11,46.59999084472656
2016-05-12,46.744720458984375
2016-05-13,46.19630813598633
2016-05-16,46.417198181152344
2016-05-17,46.095279693603516
2016-05-18,46.662471771240234
2016-05-19,46.83108139038086
2016-05-20,48.08809280395508
2016-05-23,48.85455322265625
2016-05-24,49.39875030517578
2016-05-25,50.21885299682617
2016-05-26,50.5101203918457
2016-05-27,50.425811767578125
2016-05-31,51.40687942504883
2016-06-01,51.728797912597656
2016-06-02,51.92041778564453
2016-06-03,51.94341278076172
2016-06-06,51.69814682006836
