Date,RAND.AS
2016-05-17,32.84956741333008
2016-05-18,33.22105026245117
2016-05-19,32.9180908203125
2016-05-20,33.037109375
2016-05-23,33.18498611450195
2016-05-24,33.97124099731445
2016-05-25,34.67814636230469
2016-05-26,34.807987213134766
2016-05-27,34.91618728637695
2016-05-30,34.847660064697266
2016-05-31,35.01716995239258
2016-06-01,34.66372299194336
2016-06-02,34.93061065673828
2016-06-03,34.01451873779297
2016-06-06,34.30305862426758
2016-06-07,34.79356002807617
2016-06-08,34.17681884765625
2016-06-09,34.12632751464844
2016-06-10,32.49611282348633
2016-06-13,31.565595626831055
2016-06-14,31.096721649169922
2016-06-15,31.078685760498047
2016-06-16,30.599002838134766
2016-06-17,31.12918472290039
2016-06-20,32.61151885986328
2016-06-21,32.838741302490234
