Date,APOLLOHOSP.NS
2016-05-02,1270.678955078125
2016-05-03,1258.4735107421875
2016-05-04,1270.7762451171875
2016-05-05,1266.059326171875
2016-05-06,1296.0137939453125
2016-05-09,1299.8065185546875
2016-05-10,1265.2813720703125
2016-05-11,1284.051513671875
2016-05-12,1286.2882080078125
2016-05-13,1287.2122802734375
2016-05-16,1306.954833984375
2016-05-17,1301.4112548828125
2016-05-18,1319.59814453125
2016-05-19,1284.732421875
2016-05-20,1292.7069091796875
2016-05-23,1321.2998046875
2016-05-24,1323.2449951171875
2016-05-25,1303.11328125
2016-05-26,1308.948486328125
2016-05-27,1311.185302734375
2016-05-30,1360.6392822265625
2016-05-31,1331.51171875
2016-06-01,1374.6439208984375
2016-06-02,1362.9248046875
2016-06-03,1328.9830322265625
2016-06-06,1316.875
