Date,ABBOTINDIA.NS
2016-06-01,4278.29833984375
2016-06-02,4239.1826171875
2016-06-03,4149.9326171875
2016-06-06,4164.02783203125
2016-06-07,4140.61328125
2016-06-08,4128.630859375
2016-06-09,4107.00732421875
2016-06-10,4085.98046875
2016-06-13,4086.43896484375
2016-06-14,4078.54248046875
2016-06-15,4102.09423828125
2016-06-16,4075.2373046875
2016-06-17,4033.551513671875
2016-06-20,4079.00146484375
2016-06-21,4142.40380859375
2016-06-22,4161.9619140625
2016-06-23,4126.79541015625
2016-06-24,4121.4228515625
2016-06-27,4161.22705078125
2016-06-28,4120.8720703125
2016-06-29,4205.98974609375
2016-06-30,4238.541015625
2016-07-01,4331.00390625
2016-07-04,4357.5859375
2016-07-05,4333.849609375
2016-07-07,4394.95751953125
2016-07-08,4377.61474609375
2016-07-11,4400.41455078125
